Customer Name,Created Date,Rating,Comment,Outlet Name,Restaurant ID
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,1,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,2,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,4,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,3,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,4,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,2,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,2,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,3,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,3,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,4,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
